Filename: testdata6.txt
levat: 1
ipse: 6
tridenti: 1
145: 1
vastas: 1
rotis: 1
summas: 1
levibus: 1
perlabitur: 1
veluti: 1
populo: 1
saepe: 2
coorta: 1
seditio: 1
saevitque: 1
animis: 1
ignobile: 1
volgus: 2
iamque: 3
faces: 1
volant—furor: 1
ministrat: 1
150: 1
pietate: 2
gravem: 2
si: 12
forte: 5
conspexere: 1
silent: 2
arrectisque: 1
auribus: 1
adstant: 1
regit: 2
dictis: 6
pectora: 5
mulcet—: 1
cunctus: 2
cecidit: 1
fragor: 1
postquam: 4
genitor: 3
caeloque: 1
invectus: 1
aperto: 2
155: 1
flectit: 1
equos: 4
curruque: 2
volans: 1
lora: 2
secundo: 1
defessi: 1
aeneadae: 1
proxima: 1
cursu: 1
contendunt: 1
petere: 1
vertuntur: 1
oras: 3
secessu: 1
longo: 3
locus: 3
insula: 1
portum: 3
efficit: 1
obiectu: 1
quibus: 9
160: 1
frangitur: 1
inque: 1
sinus: 3
scindit: 2
sese: 2
reductos: 1
vastae: 1
rupes: 1
geminique: 1
minantur: 1
scopuli: 1
quorum: 2
late: 3
tuta: 2
silvis: 3
scaena: 1
coruscis: 1
desuper: 2
horrentique: 1
atrum: 1
nemus: 1
imminet: 2
umbra: 3
165: 1
fronte: 1
scopulis: 1
pendentibus: 1
antrum: 1
intus: 3
dulces: 1
vivoque: 1
sedilia: 1
saxo: 2
nympharum: 2
domus: 4
fessas: 1
vincula: 1
ulla: 1
tenent: 1
unco: 1
alligat: 1
ancora: 1
morsu: 1
huc: 4
aeneas: 19
collectis: 1
navibus: 6
omni: 2
170: 1
numero: 1
subit: 2
amore: 5
egressi: 1
optata: 1
potiuntur: 1
troes: 3
harena: 1
sale: 1
tabentis: 1
artus: 1
litore: 5
ponunt: 1
primum: 6
silici: 1
scintillam: 1
excudit: 1
achates: 6
succepitque: 1
foliis: 1
arida: 1
175: 1
nutrimenta: 1
rapuitque: 1
fomite: 1
flammam: 1
cererem: 1
corruptam: 1
cerealiaque: 1
expediunt: 2
fessi: 1
rerum: 8
frugesque: 1
receptas: 1
torrere: 1
parant: 2
flammis: 4
frangere: 1
scopulum: 1
conscendit: 1
omnem: 2
180: 1
prospectum: 1
pelago: 5
petit: 4
anthea: 2
iactatum: 1
videat: 1
phrygiasque: 1
biremis: 1
capyn: 1
celsis: 1
puppibus: 1
caici: 1
nullam: 1
cervos: 1
prospicit: 1
errantis: 1
hos: 1
tota: 1
armenta: 1
sequuntur: 2
185: 1
tergo: 2
longum: 1
vallis: 1
pascitur: 1
agmen: 1
constitit: 3
arcumque: 1
manu: 2
celerisque: 1
